G_ID,day,val,provisional,estimate,warning,temp_c
1122,2017-07-16 00:00:00,.00,1,,,17.10
1122,2017-07-17 00:00:00,.00,1,,,18.37
1122,2017-07-18 00:00:00,.00,1,,,19.21
1122,2017-07-19 00:00:00,.00,1,,,18.22
1122,2017-07-20 00:00:00,.01,1,,,17.68
1122,2017-07-21 00:00:00,.00,1,,,18.39
1122,2017-07-22 00:00:00,.00,1,,,22.64
1122,2017-07-23 00:00:00,.00,1,,,20.33
1122,2017-07-24 00:00:00,.00,1,,,20.47
1122,2017-07-25 00:00:00,.00,1,,,21.86
1122,2017-07-26 00:00:00,.00,1,,,19.37
1122,2017-07-27 00:00:00,.00,1,,,17.11
1122,2017-07-28 00:00:00,.00,1,,,18.08
1122,2017-07-29 00:00:00,.00,1,,,19.04
1122,2017-07-30 00:00:00,.00,1,,,19.71
1122,2017-07-31 00:00:00,.00,1,,,21.23
1122,2017-08-01 00:00:00,.00,1,,,22.84
1122,2017-08-02 00:00:00,.00,1,,,24.02
1122,2017-08-20 00:00:00,.00,1,,,17.69
1122,2017-08-21 00:00:00,.00,1,,,19.92
1122,2017-08-22 00:00:00,.00,1,,,21.44
1122,2017-08-23 00:00:00,.00,1,,,18.81
1122,2017-08-24 00:00:00,.00,1,,,16.88
1122,2017-08-25 00:00:00,.00,1,,,17.78
1122,2017-08-28 00:00:00,.00,1,,,22.60
1122,2017-08-29 00:00:00,.00,1,,,20.52
1122,2017-08-30 00:00:00,.00,1,,,19.06
1122,2017-08-31 00:00:00,.00,1,,,19.53
1122,2017-09-01 00:00:00,.00,1,,,20.35
1122,2017-09-02 00:00:00,.00,1,,,22.49
1122,2017-09-03 00:00:00,.00,1,,,23.20
1122,2017-09-04 00:00:00,.00,1,,,23.15
1122,2017-09-05 00:00:00,.00,1,,,23.29
1122,2017-09-06 00:00:00,.01,1,,,21.27
1122,2017-09-07 00:00:00,.00,1,,,19.46
1122,2017-09-08 00:00:00,.00,1,,,18.89
1122,2017-09-09 00:00:00,.04,1,,,16.07
1122,2017-09-10 00:00:00,.00,1,,,17.43
1122,2017-09-11 00:00:00,.00,1,,,18.10
1122,2017-09-12 00:00:00,.00,1,,,18.37
1122,2017-09-13 00:00:00,.00,1,,,14.86
1122,2017-09-14 00:00:00,.00,1,,,16.43
1122,2017-09-15 00:00:00,.00,1,,,15.57
1122,2017-09-16 00:00:00,.00,1,,,15.05
1122,2017-09-17 00:00:00,.16,1,,,13.50
1122,2017-09-18 00:00:00,.56,1,,,11.97
1122,2017-09-19 00:00:00,.11,1,,,12.46
1122,2017-09-20 00:00:00,.15,1,,,11.02
1122,2017-09-21 00:00:00,.00,1,,,11.84
1122,2017-09-22 00:00:00,.00,1,,,13.20
1122,2017-09-23 00:00:00,.00,1,,,15.09
1122,2017-09-24 00:00:00,.00,1,,,14.74
1122,2017-09-25 00:00:00,.01,1,,,15.27
1122,2017-09-26 00:00:00,.00,1,,,17.16
1122,2017-09-27 00:00:00,.00,1,,,17.62
1122,2017-09-28 00:00:00,.00,1,,,19.54
1122,2017-09-29 00:00:00,.11,1,,,15.32
1122,2017-09-30 00:00:00,.21,1,,,12.81
1122,2017-10-01 00:00:00,.10,1,,,11.53
1122,2017-10-02 00:00:00,.01,1,,,10.76
1122,2017-10-03 00:00:00,.00,1,,,11.31
1122,2017-10-04 00:00:00,.00,1,,,11.17
1122,2017-10-05 00:00:00,.00,1,,,11.22
1122,2017-10-06 00:00:00,.06,1,,,12.06
1122,2017-10-07 00:00:00,.13,1,,,12.22
1122,2017-10-08 00:00:00,.00,1,,,9.92
1122,2017-10-09 00:00:00,.00,1,,,9.00
1122,2017-10-10 00:00:00,.00,1,,,10.12
1122,2017-10-11 00:00:00,.01,1,,,8.95
1122,2017-10-12 00:00:00,.13,1,,,8.56
1122,2017-10-13 00:00:00,.09,1,,,8.44
1122,2017-10-14 00:00:00,.00,1,,,7.85
1122,2017-10-15 00:00:00,.00,1,,,9.28
1122,2017-10-16 00:00:00,.00,1,,,10.00
1122,2017-10-17 00:00:00,.16,1,,,10.86
1122,2017-10-18 00:00:00,1.64,1,,,11.28
1122,2017-10-19 00:00:00,1.03,1,,,11.05
1122,2017-10-20 00:00:00,.25,1,,,8.76
1122,2017-10-21 00:00:00,2.80,1,,,9.73
1122,2017-10-22 00:00:00,.41,1,,,12.27
1122,2017-10-23 00:00:00,.01,1,,,11.14
1122,2017-10-24 00:00:00,.00,1,,,10.21
