G_ID,day,val
1101,2017-03-13 00:00:00,1.87
1101,2017-03-18 00:00:00,2.36
1101,2017-03-04 00:00:00,1.68
1101,2017-02-25 00:00:00,1.61
1101,2017-03-16 00:00:00,3.15
1101,2017-02-28 00:00:00,1.57
1101,2017-03-27 00:00:00,1.90
1101,2017-03-30 00:00:00,1.98
1101,2017-03-07 00:00:00,1.69
1101,2017-03-08 00:00:00,1.76
1101,2017-02-23 00:00:00,1.74
1101,2017-03-26 00:00:00,1.81
1101,2017-03-09 00:00:00,1.83
1101,2017-03-21 00:00:00,1.97
1101,2017-03-24 00:00:00,1.91
1101,2017-03-05 00:00:00,1.64
1101,2017-03-20 00:00:00,1.98
1101,2017-03-10 00:00:00,2.09
1101,2017-03-01 00:00:00,1.57
1101,2017-02-26 00:00:00,1.61
1101,2017-03-23 00:00:00,1.86
1101,2017-03-28 00:00:00,1.89
1101,2017-03-11 00:00:00,1.96
1101,2017-03-03 00:00:00,1.59
1101,2017-03-29 00:00:00,1.99
1101,2017-03-22 00:00:00,1.92
1101,2017-03-19 00:00:00,2.32
1101,2017-02-27 00:00:00,1.61
1101,2017-03-17 00:00:00,2.04
1101,2017-03-02 00:00:00,1.54
1101,2017-03-12 00:00:00,1.89
1101,2017-02-24 00:00:00,1.68
1101,2017-03-15 00:00:00,2.53
1101,2017-03-25 00:00:00,1.86
1101,2017-03-14 00:00:00,1.96
1101,2017-03-06 00:00:00,1.64
