G_ID,day,val
966,2015-04-15 00:00:00.000,0.00
966,2016-04-15 00:00:00.000,0.00
966,2004-04-16 00:00:00.000,0.13
966,2005-04-16 00:00:00.000,0.55
966,2006-04-16 00:00:00.000,0.04
966,2007-04-16 00:00:00.000,0.10
966,2009-04-16 00:00:00.000,0.00
966,2010-04-16 00:00:00.000,0.00
966,2011-04-16 00:00:00.000,0.01
966,2012-04-16 00:00:00.000,0.45
966,2013-04-16 00:00:00.000,0.00
966,2014-04-16 00:00:00.000,0.04
966,2015-04-16 00:00:00.000,0.00
966,2016-04-16 00:00:00.000,0.00
966,2004-04-17 00:00:00.000,0.00
966,2005-04-17 00:00:00.000,0.17
966,2006-04-17 00:00:00.000,0.00
966,2007-04-17 00:00:00.000,0.10
966,2009-04-17 00:00:00.000,0.26
966,2010-04-17 00:00:00.000,0.42
966,2011-04-17 00:00:00.000,0.01
966,2012-04-17 00:00:00.000,0.11
966,2013-04-17 00:00:00.000,0.00
966,2014-04-17 00:00:00.000,0.50
966,2015-04-17 00:00:00.000,0.00
966,2016-04-17 00:00:00.000,0.00
966,2004-04-18 00:00:00.000,0.06
966,2005-04-18 00:00:00.000,0.01
966,2006-04-18 00:00:00.000,0.00
966,2007-04-18 00:00:00.000,0.15
966,2009-04-18 00:00:00.000,0.00
966,2010-04-18 00:00:00.000,0.01
966,2011-04-18 00:00:00.000,0.00
966,2012-04-18 00:00:00.000,0.16
966,2013-04-18 00:00:00.000,0.03
966,2014-04-18 00:00:00.000,0.00
966,2015-04-18 00:00:00.000,0.00
966,2016-04-18 00:00:00.000,0.00
966,2004-04-19 00:00:00.000,0.17
966,2005-04-19 00:00:00.000,0.00
966,2006-04-19 00:00:00.000,0.00
966,2007-04-19 00:00:00.000,0.00
966,2009-04-19 00:00:00.000,0.00
966,2010-04-19 00:00:00.000,0.01
966,2011-04-19 00:00:00.000,0.00
966,2012-04-19 00:00:00.000,0.86
966,2013-04-19 00:00:00.000,0.29
966,2014-04-19 00:00:00.000,0.25
966,2015-04-19 00:00:00.000,0.00
966,2016-04-19 00:00:00.000,0.00
966,2004-04-20 00:00:00.000,0.07
966,2005-04-20 00:00:00.000,0.00
966,2006-04-20 00:00:00.000,0.03
966,2007-04-20 00:00:00.000,0.00
966,2009-04-20 00:00:00.000,0.00
966,2010-04-20 00:00:00.000,0.11
966,2011-04-20 00:00:00.000,0.00
966,2012-04-20 00:00:00.000,0.28
966,2013-04-20 00:00:00.000,0.00
966,2014-04-20 00:00:00.000,0.01
966,2015-04-20 00:00:00.000,0.00
966,2016-04-20 00:00:00.000,0.00
966,2004-04-21 00:00:00.000,0.17
966,2005-04-21 00:00:00.000,0.00
966,2006-04-21 00:00:00.000,0.02
966,2007-04-21 00:00:00.000,0.18
966,2009-04-21 00:00:00.000,0.00
966,2010-04-21 00:00:00.000,0.15
966,2011-04-21 00:00:00.000,0.00
966,2012-04-21 00:00:00.000,0.00
966,2013-04-21 00:00:00.000,0.07
966,2014-04-21 00:00:00.000,0.18
966,2015-04-21 00:00:00.000,0.00
966,2016-04-21 00:00:00.000,0.00
966,2004-04-22 00:00:00.000,0.00
966,2005-04-22 00:00:00.000,0.00
966,2006-04-22 00:00:00.000,0.00
966,2007-04-22 00:00:00.000,0.01
966,2009-04-22 00:00:00.000,0.00
966,2010-04-22 00:00:00.000,0.00
966,2011-04-22 00:00:00.000,0.00
966,2012-04-22 00:00:00.000,0.00
966,2013-04-22 00:00:00.000,0.01
966,2014-04-22 00:00:00.000,0.40
966,2015-04-22 00:00:00.000,0.00
966,2016-04-22 00:00:00.000,0.24
966,2004-04-23 00:00:00.000,0.02
966,2005-04-23 00:00:00.000,0.18
966,2006-04-23 00:00:00.000,0.00
966,2007-04-23 00:00:00.000,0.00
966,2009-04-23 00:00:00.000,0.01
966,2010-04-23 00:00:00.000,0.07
966,2011-04-23 00:00:00.000,0.00
966,2012-04-23 00:00:00.000,0.00
966,2013-04-23 00:00:00.000,0.00
966,2014-04-23 00:00:00.000,0.42
966,2015-04-23 00:00:00.000,0.09
966,2016-04-23 00:00:00.000,0.16
966,2004-04-24 00:00:00.000,0.00
966,2005-04-24 00:00:00.000,0.15
966,2005-01-07 00:00:00.000,0.14
966,2006-01-07 00:00:00.000,0.55
966,2007-01-07 00:00:00.000,1.84
966,2009-01-07 00:00:00.000,4.36
966,2010-01-07 00:00:00.000,0.12
966,2011-01-07 00:00:00.000,0.26
966,2012-01-07 00:00:00.000,0.01
966,2013-01-07 00:00:00.000,0.17
966,2014-01-07 00:00:00.000,0.37
966,2015-01-07 00:00:00.000,0.00
966,2016-01-07 00:00:00.000,0.01
966,2017-01-07 00:00:00.000,0.00
966,2004-01-08 00:00:00.000,0.18
966,2005-01-08 00:00:00.000,0.03
966,2006-01-08 00:00:00.000,0.06
966,2007-01-08 00:00:00.000,0.00
966,2009-01-08 00:00:00.000,0.40
966,2010-01-08 00:00:00.000,1.03
966,2011-01-08 00:00:00.000,0.00
966,2012-01-08 00:00:00.000,0.00
966,2013-01-08 00:00:00.000,0.49
966,2014-01-08 00:00:00.000,0.33
966,2015-01-08 00:00:00.000,0.00
966,2016-01-08 00:00:00.000,0.00
966,2017-01-08 00:00:00.000,0.46
966,2004-01-09 00:00:00.000,0.07
966,2005-01-09 00:00:00.000,0.10
966,2006-01-09 00:00:00.000,1.42
966,2007-01-09 00:00:00.000,0.22
966,2009-01-09 00:00:00.000,0.00
966,2010-01-09 00:00:00.000,0.01
966,2011-01-09 00:00:00.000,0.03
966,2012-01-09 00:00:00.000,0.11
966,2013-01-09 00:00:00.000,1.32
966,2014-01-09 00:00:00.000,0.28
966,2015-01-09 00:00:00.000,0.00
966,2016-01-09 00:00:00.000,0.01
966,2017-01-09 00:00:00.000,0.02
966,2004-01-10 00:00:00.000,0.12
966,2005-01-10 00:00:00.000,0.02
966,2006-01-10 00:00:00.000,1.67
966,2007-01-10 00:00:00.000,0.13
966,2009-01-10 00:00:00.000,0.16
966,2010-01-10 00:00:00.000,0.05
966,2011-01-10 00:00:00.000,0.04
966,2012-01-10 00:00:00.000,0.06
966,2013-01-10 00:00:00.000,0.01
966,2014-01-10 00:00:00.000,0.44
966,2015-01-10 00:00:00.000,0.04
966,2016-01-10 00:00:00.000,0.00
966,2004-01-11 00:00:00.000,0.00
966,2005-01-11 00:00:00.000,0.00
966,2006-01-11 00:00:00.000,0.68
966,2007-01-11 00:00:00.000,0.02
966,2009-01-11 00:00:00.000,0.05
966,2010-01-11 00:00:00.000,0.78
966,2011-01-11 00:00:00.000,0.00
966,2012-01-11 00:00:00.000,0.01
966,2013-01-11 00:00:00.000,0.01
966,2014-01-11 00:00:00.000,1.17
966,2015-01-11 00:00:00.000,0.05
966,2016-01-11 00:00:00.000,0.10
966,2004-01-12 00:00:00.000,0.08
966,2005-01-12 00:00:00.000,0.09
966,2006-01-12 00:00:00.000,0.49
966,2007-01-12 00:00:00.000,0.00
966,2009-01-12 00:00:00.000,0.01
966,2010-01-12 00:00:00.000,0.36
966,2011-01-12 00:00:00.000,1.14
966,2012-01-12 00:00:00.000,0.00
966,2013-01-12 00:00:00.000,0.00
966,2014-01-12 00:00:00.000,0.24
966,2015-01-12 00:00:00.000,0.01
966,2016-01-12 00:00:00.000,0.53
966,2004-01-13 00:00:00.000,0.02
966,2005-01-13 00:00:00.000,0.00
966,2006-01-13 00:00:00.000,0.31
966,2009-01-13 00:00:00.000,0.00
966,2010-01-13 00:00:00.000,0.39
966,2011-01-13 00:00:00.000,1.11
966,2012-01-13 00:00:00.000,0.00
966,2013-01-13 00:00:00.000,0.00
966,2014-01-13 00:00:00.000,0.05
966,2015-01-13 00:00:00.000,0.00
966,2016-01-13 00:00:00.000,0.18
966,2004-01-14 00:00:00.000,0.31
966,2005-01-14 00:00:00.000,0.00
966,2006-01-14 00:00:00.000,0.01
966,2009-01-14 00:00:00.000,0.00
966,2010-01-14 00:00:00.000,0.21
966,2011-01-14 00:00:00.000,0.37
966,2012-01-14 00:00:00.000,0.27
966,2013-01-14 00:00:00.000,0.01
966,2014-01-14 00:00:00.000,0.00
966,2015-01-14 00:00:00.000,0.00
966,2016-01-14 00:00:00.000,0.02
966,2004-01-15 00:00:00.000,0.04
966,2005-01-15 00:00:00.000,0.12
966,2006-01-15 00:00:00.000,0.06
966,2007-01-15 00:00:00.000,0.01
966,2009-01-15 00:00:00.000,0.00
966,2010-01-15 00:00:00.000,0.57
966,2011-01-15 00:00:00.000,0.76
966,2012-01-15 00:00:00.000,0.18
966,2013-01-15 00:00:00.000,0.00
966,2014-01-15 00:00:00.000,0.00
966,2015-01-15 00:00:00.000,0.30
966,2016-01-15 00:00:00.000,0.11
966,2004-01-16 00:00:00.000,0.00
966,2005-01-16 00:00:00.000,0.29
966,2006-01-16 00:00:00.000,0.97
966,2007-01-16 00:00:00.000,0.17
966,2009-01-16 00:00:00.000,0.00
966,2010-01-16 00:00:00.000,0.06
966,2011-01-16 00:00:00.000,1.05
966,2012-01-16 00:00:00.000,0.18
966,2013-01-16 00:00:00.000,0.00
966,2014-01-16 00:00:00.000,0.00
966,2015-01-16 00:00:00.000,0.01
966,2016-01-16 00:00:00.000,0.53
966,2004-01-17 00:00:00.000,0.01
966,2005-01-17 00:00:00.000,1.77
966,2006-01-17 00:00:00.000,0.05
966,2007-01-17 00:00:00.000,0.06
966,2009-01-17 00:00:00.000,0.00
966,2010-01-17 00:00:00.000,0.20
966,2011-01-17 00:00:00.000,0.10
966,2012-01-17 00:00:00.000,0.46
966,2013-01-17 00:00:00.000,0.01
966,2014-01-17 00:00:00.000,0.00
966,2015-01-17 00:00:00.000,1.21
966,2016-01-17 00:00:00.000,0.38
966,2004-01-18 00:00:00.000,0.25
966,2005-01-18 00:00:00.000,0.76
966,2006-01-18 00:00:00.000,0.29
966,2007-01-18 00:00:00.000,0.07
966,2009-01-18 00:00:00.000,0.00
966,2010-01-18 00:00:00.000,0.02
966,2011-01-18 00:00:00.000,0.08
966,2012-01-18 00:00:00.000,0.02
966,2013-01-18 00:00:00.000,0.00
966,2014-01-18 00:00:00.000,0.00
966,2015-01-18 00:00:00.000,0.41
966,2016-01-18 00:00:00.000,0.14
966,2004-01-19 00:00:00.000,0.06
966,2005-01-19 00:00:00.000,0.01
966,2006-01-19 00:00:00.000,0.15
966,2007-01-19 00:00:00.000,0.23
966,2009-01-19 00:00:00.000,0.01
966,2010-01-19 00:00:00.000,0.00
966,2011-01-19 00:00:00.000,0.00
966,2012-01-19 00:00:00.000,0.00
966,2013-01-19 00:00:00.000,0.00
966,2014-01-19 00:00:00.000,0.00
966,2015-01-19 00:00:00.000,0.06
966,2016-01-19 00:00:00.000,0.43
966,2004-01-20 00:00:00.000,0.00
966,2005-01-20 00:00:00.000,0.17
966,2006-01-20 00:00:00.000,0.62
966,2007-01-20 00:00:00.000,0.00
966,2009-01-20 00:00:00.000,0.00
966,2010-01-20 00:00:00.000,0.00
966,2011-01-20 00:00:00.000,0.02
966,2012-01-20 00:00:00.000,0.85
966,2013-01-20 00:00:00.000,0.00
966,2014-01-20 00:00:00.000,0.00
966,2015-01-20 00:00:00.000,0.00
966,2016-01-20 00:00:00.000,0.44
966,2004-01-21 00:00:00.000,0.00
966,2005-01-21 00:00:00.000,0.02
966,2006-01-21 00:00:00.000,0.04
966,2007-01-21 00:00:00.000,0.00
966,2009-01-21 00:00:00.000,0.01
966,2010-01-21 00:00:00.000,0.01
966,2011-01-21 00:00:00.000,0.08
966,2012-01-21 00:00:00.000,0.26
966,2013-01-21 00:00:00.000,0.00
966,2014-01-21 00:00:00.000,0.00
966,2015-01-21 00:00:00.000,0.01
966,2016-01-21 00:00:00.000,0.94
966,2004-01-22 00:00:00.000,0.13
966,2005-01-22 00:00:00.000,0.30
966,2006-01-22 00:00:00.000,0.00
966,2007-01-22 00:00:00.000,0.00
966,2009-01-22 00:00:00.000,0.00
966,2010-01-22 00:00:00.000,0.00
966,2011-01-22 00:00:00.000,0.00
966,2012-01-22 00:00:00.000,0.23
966,2013-01-22 00:00:00.000,0.00
966,2014-01-22 00:00:00.000,0.00
966,2015-01-22 00:00:00.000,0.04
966,2016-01-22 00:00:00.000,0.23
966,2004-01-23 00:00:00.000,0.43
966,2005-01-23 00:00:00.000,0.02
966,2006-01-23 00:00:00.000,0.00
966,2007-01-23 00:00:00.000,0.01
966,2009-01-23 00:00:00.000,0.00
966,2010-01-23 00:00:00.000,0.00
966,2011-01-23 00:00:00.000,0.06
966,2012-01-23 00:00:00.000,0.00
966,2013-01-23 00:00:00.000,0.16
966,2014-01-23 00:00:00.000,0.00
966,2015-01-23 00:00:00.000,0.19
966,2016-01-23 00:00:00.000,0.75
966,2004-01-24 00:00:00.000,0.07
966,2005-01-24 00:00:00.000,0.02
966,2006-01-24 00:00:00.000,0.00
966,2007-01-24 00:00:00.000,0.00
966,2009-01-24 00:00:00.000,0.07
966,2010-01-24 00:00:00.000,0.39
966,2011-01-24 00:00:00.000,0.15
966,2012-01-24 00:00:00.000,0.62
966,2013-01-24 00:00:00.000,0.16
966,2014-01-24 00:00:00.000,0.00
966,2015-01-24 00:00:00.000,0.11
966,2016-01-24 00:00:00.000,0.01
966,2004-01-25 00:00:00.000,0.02
966,2005-01-25 00:00:00.000,0.01
966,2006-01-25 00:00:00.000,0.20
966,2007-01-25 00:00:00.000,0.07
966,2009-01-25 00:00:00.000,0.11
966,2010-01-25 00:00:00.000,0.04
966,2011-01-25 00:00:00.000,0.01
966,2012-01-25 00:00:00.000,0.09
966,2013-01-25 00:00:00.000,0.05
966,2014-01-25 00:00:00.000,0.01
966,2015-01-25 00:00:00.000,0.00
966,2016-01-25 00:00:00.000,0.00
966,2004-01-26 00:00:00.000,0.05
966,2005-01-26 00:00:00.000,0.01
966,2006-01-26 00:00:00.000,0.27
966,2007-01-26 00:00:00.000,0.00
966,2009-01-26 00:00:00.000,0.00
966,2010-01-26 00:00:00.000,0.01
966,2011-01-26 00:00:00.000,0.00
966,2012-01-26 00:00:00.000,0.26
966,2013-01-26 00:00:00.000,0.08
966,2014-01-26 00:00:00.000,0.00
966,2015-01-26 00:00:00.000,0.01
966,2016-01-26 00:00:00.000,0.03
966,2004-01-27 00:00:00.000,0.00
966,2005-01-27 00:00:00.000,0.03
966,2006-01-27 00:00:00.000,0.31
966,2007-01-27 00:00:00.000,0.00
966,2009-01-27 00:00:00.000,0.06
966,2010-01-27 00:00:00.000,0.00
966,2011-01-27 00:00:00.000,0.00
966,2012-01-27 00:00:00.000,0.00
966,2013-01-27 00:00:00.000,0.06
966,2014-01-27 00:00:00.000,0.01
966,2015-01-27 00:00:00.000,0.01
966,2016-01-27 00:00:00.000,0.47
966,2004-01-28 00:00:00.000,0.51
966,2005-01-28 00:00:00.000,0.01
966,2006-01-28 00:00:00.000,0.78
966,2007-01-28 00:00:00.000,0.01
966,2009-01-28 00:00:00.000,0.00
966,2010-01-28 00:00:00.000,0.00
966,2011-01-28 00:00:00.000,0.07
966,2012-01-28 00:00:00.000,0.00
966,2013-01-28 00:00:00.000,0.05
966,2014-01-28 00:00:00.000,0.30
966,2015-01-28 00:00:00.000,0.00
966,2016-01-28 00:00:00.000,0.93
966,2004-01-29 00:00:00.000,1.01
966,2005-01-29 00:00:00.000,0.03
966,2006-01-29 00:00:00.000,1.49
966,2007-01-29 00:00:00.000,0.01
966,2009-01-29 00:00:00.000,0.00
966,2010-01-29 00:00:00.000,0.07
966,2011-01-29 00:00:00.000,0.16
966,2012-01-29 00:00:00.000,0.72
966,2013-01-29 00:00:00.000,0.00
966,2014-01-29 00:00:00.000,0.49
966,2015-01-29 00:00:00.000,0.01
966,2016-01-29 00:00:00.000,0.36
966,2004-01-30 00:00:00.000,0.65
966,2005-01-30 00:00:00.000,0.00
966,2006-01-30 00:00:00.000,1.12
966,2007-01-30 00:00:00.000,0.00
966,2009-01-30 00:00:00.000,0.02
966,2010-01-30 00:00:00.000,0.23
966,2011-01-30 00:00:00.000,0.06
966,2012-01-30 00:00:00.000,0.14
966,2013-01-30 00:00:00.000,0.33
966,2014-01-30 00:00:00.000,0.13
966,2015-01-30 00:00:00.000,0.00
966,2016-01-30 00:00:00.000,0.10
966,2004-01-31 00:00:00.000,0.21
966,2005-01-31 00:00:00.000,0.05
966,2006-01-31 00:00:00.000,0.50
966,2007-01-31 00:00:00.000,0.00
966,2009-01-31 00:00:00.000,0.00
966,2010-01-31 00:00:00.000,0.00
966,2011-01-31 00:00:00.000,0.00
966,2012-01-31 00:00:00.000,0.12
966,2013-01-31 00:00:00.000,0.02
966,2014-01-31 00:00:00.000,0.07
966,2015-01-31 00:00:00.000,0.00
966,2016-01-31 00:00:00.000,0.07
966,2004-02-01 00:00:00.000,0.03
966,2005-02-01 00:00:00.000,0.01
966,2006-02-01 00:00:00.000,0.50
966,2007-02-01 00:00:00.000,0.00
966,2009-02-01 00:00:00.000,0.00
966,2010-02-01 00:00:00.000,0.21
966,2011-02-01 00:00:00.000,0.01
966,2012-02-01 00:00:00.000,0.17
966,2013-02-01 00:00:00.000,0.01
966,2014-02-01 00:00:00.000,0.02
966,2015-02-01 00:00:00.000,0.07
966,2016-02-01 00:00:00.000,0.04
966,2004-02-02 00:00:00.000,0.30
966,2005-02-02 00:00:00.000,0.00
966,2006-02-02 00:00:00.000,0.76
966,2007-02-02 00:00:00.000,0.01
966,2009-02-02 00:00:00.000,0.00
966,2010-02-02 00:00:00.000,0.01
966,2011-02-02 00:00:00.000,0.00
966,2012-02-02 00:00:00.000,0.00
966,2013-02-02 00:00:00.000,0.00
966,2014-02-02 00:00:00.000,0.00
966,2015-02-02 00:00:00.000,0.23
966,2016-02-02 00:00:00.000,0.02
966,2004-02-03 00:00:00.000,0.04
966,2005-02-03 00:00:00.000,0.00
966,2006-02-03 00:00:00.000,0.08
966,2007-02-03 00:00:00.000,0.23
966,2009-02-03 00:00:00.000,0.00
966,2010-02-03 00:00:00.000,0.22
966,2011-02-03 00:00:00.000,0.00
966,2012-02-03 00:00:00.000,0.00
966,2013-02-03 00:00:00.000,0.00
966,2014-02-03 00:00:00.000,0.00
966,2015-02-03 00:00:00.000,0.02
966,2016-02-03 00:00:00.000,0.23
966,2004-02-04 00:00:00.000,0.01
966,2005-02-04 00:00:00.000,0.18
966,2006-02-04 00:00:00.000,0.93
966,2007-02-04 00:00:00.000,0.03
966,2009-02-04 00:00:00.000,0.00
966,2010-02-04 00:00:00.000,0.11
966,2011-02-04 00:00:00.000,0.13
966,2012-02-04 00:00:00.000,0.00
966,2013-02-04 00:00:00.000,0.00
966,2014-02-04 00:00:00.000,0.00
966,2015-02-04 00:00:00.000,0.37
966,2016-02-04 00:00:00.000,0.40
966,2004-02-05 00:00:00.000,0.00
966,2005-02-05 00:00:00.000,0.00
966,2006-02-05 00:00:00.000,0.00
966,2007-02-05 00:00:00.000,0.01
966,2009-02-05 00:00:00.000,0.00
966,2010-02-05 00:00:00.000,0.04
966,2011-02-05 00:00:00.000,0.02
966,2012-02-05 00:00:00.000,0.00
966,2013-02-05 00:00:00.000,0.22
966,2014-02-05 00:00:00.000,0.00
